Title,Text,Time,Url
«Займер» анонсировал промежуточные дивиденды с доходностью 8%,"© Reuters.
Investing.com — Совет директоров МФК «Займер» рекомендовал дивиденды за третий квартал в размере 10,51 руб. на акцию, сообщила компания. Всего на выплату дивидендов финтех-платформа может направить 100% чистой прибыли, полученной в третьем квартале года, или более 1 млрд руб. Дивидендная доходность по текущей цене — 8%.МФК «Займер» дивиденды за третий квартал в размере 10,51 руб. на акцию, сообщила компания. Всего на выплату дивидендов финтех-платформа может направить 100% чистой прибыли, полученной в третьем квартале года, или более 1 млрд руб. Дивидендная доходность по текущей цене — 8%. 
Окончательное решение по выплатам примут акционеры компании на общем собрании 28 декабря 2024 года. Последний день для покупки акций под дивиденды — 23 января.
Акции компании «Займер» на торгах Мосбиржи отреагировали на сообщение о дивидендах ростом почти на 6% — до 139 руб. По состоянию на 14:14 МСК они прибавляли 2,5% и торговались на уровне 135,55 руб. за бумагу.
Генеральный директор МФК «Займер» Роман Макаров сообщил, что в течение двух кварталов, прошедших с момента IPO, «Займер» направлял на выплату дивидендов 100% чистой прибыли за отчетный период.
«Мы осознаем важность регулярных выплат дивидендов для наших акционеров и рекомендуем внеочередному общему собранию акционеров также одобрить выплату 100% чистой прибыли по итогам третьего квартала», — заявил он.
«Мы осознаем важность регулярных выплат дивидендов для наших акционеров и рекомендуем внеочередному общему собранию акционеров также одобрить выплату 100% чистой прибыли по итогам третьего квартала», — заявил он.","25.11.2024, 15:12",https://ru.investing.com/news/general-news/article-2581367
Обвинительный вердикт Трампу: новости к утру 31 мая,"© Reuters.
Investing.com — Суд признал Дональда Трампа виновным в подлоге финансовой документации, а Сбербанк повысил максимальную ставку по вкладам до 18% — эти и другие важные новости к утру пятницы, 31 мая, в нашем ежедневном обзоре.
Суд присяжных в Нью-Йорке признал Трампа виновным в фальсификации деловой документации, пишет Yahoo. Во время суда обвинение предоставило 34 платежных документа, доказывающих фальсификации. Трампа отпустили без залога до вынесения приговора. Огласят его 11 июля. Ему грозит до четырех лет тюрьмы. Экс-президент свою вину не признал.Yahoo. Во время суда обвинение предоставило 34 платежных документа, доказывающих фальсификации. Трампа отпустили без залога до вынесения приговора. Огласят его 11 июля. Ему грозит до четырех лет тюрьмы. Экс-президент свою вину не признал. 
С 31 мая в Сбербанке по вкладам линейки «Лучший%» максимальная ставка повышена на 1,5–2 п.п., до 18% годовых при вложении «новых» денег на шесть или семь месяцев и выплатой дохода в конце срока, пишет РБК со ссылкой на пресс-службу кредитной организации. Если раньше для получения максимальной ставки по этому вкладу «Сбер» выдвигал условия по наличию платных подписок, то теперь их нет.Сбербанке по вкладам линейки «Лучший%» максимальная ставка повышена на 1,5–2 п.п., до 18% годовых при вложении «новых» денег на шесть или семь месяцев и выплатой дохода в конце срока, РБК со ссылкой на пресс-службу кредитной организации. Если раньше для получения максимальной ставки по этому вкладу «Сбер» выдвигал условия по наличию платных подписок, то теперь их нет. 
Заместитель министра финансов США Уолли Адейемо, выступая в Берлине перед лидерами немецкого бизнеса 31 мая, призовет западные компании прекратить поставки «критически важных компонентов» в Россию через Китай, пишет Financial Times со ссылкой на материалы, предоставленные изданию. Адейемо заявит, что США и Европа «должны предоставить Китаю выбор: китайские фирмы могут либо вести бизнес в экономиках этих стран, либо оснащать Россию товарами двойного назначения. Они не могут делать и то, и другое», пишет FT.Financial Times со ссылкой на материалы, предоставленные изданию. Адейемо заявит, что США и Европа «должны предоставить Китаю выбор: китайские фирмы могут либо вести бизнес в экономиках этих стран, либо оснащать Россию товарами двойного назначения. Они не могут делать и то, и другое», пишет FT. 
Группа «Аэрофлот» в первом квартале 2024 года получила прибыль в размере 1,1 млрд рублей против убытка в 46,5 млрд рублей годом ранее, следует из финансовой отчетности компании по международным стандартам (МСФО). Выручка «Аэрофлота» в первом квартале выросла на 54,3% год к году, до 173,59 млрд рублей. Выручка от регулярных пассажирских перевозок увеличилась на 55,5%, до 159,99 млрд рублей: в основном это связано с ростом пассажирооборота.«Аэрофлот» в первом квартале 2024 года получила прибыль в размере 1,1 млрд рублей против убытка в 46,5 млрд рублей годом ранее, следует из финансовой компании по международным стандартам (МСФО). Выручка «Аэрофлота» в первом квартале выросла на 54,3% год к году, до 173,59 млрд рублей. Выручка от регулярных пассажирских перевозок увеличилась на 55,5%, до 159,99 млрд рублей: в основном это связано с ростом пассажирооборота. 
Акционеры микрофинансовой компании «Займер» утвердили решение о выплате дивидендов по итогам первого квартала 2024 года, следует из сообщения компании. Дивиденды «Займера» составят 4,58 рубля на акцию. На их выплату компания направит 458 млн рублей — 100% чистой прибыли за первый квартал. Датой, на которую будут определены имеющие право на дивиденды лица, установлено 9 июня.«Займер» утвердили решение о выплате дивидендов по итогам первого квартала 2024 года, следует из компании. Дивиденды «Займера» составят 4,58 рубля на акцию. На их выплату компания направит 458 млн рублей — 100% чистой прибыли за первый квартал. Датой, на которую будут определены имеющие право на дивиденды лица, установлено 9 июня. 
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться InvestingPro.. 
А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: RUTRADERS4EVER.
Не забудьте ввести купон в специальное поле при оформлении и оплате подписки!! 
Читайте нас в Telegram и «ВКонтакте».и","31.05.2024, 09:36",https://ru.investing.com/news/economy/article-2428222
