Title,Text,Time,Url
"Годовая выручка ""Центрального телеграфа"" по РСБУ сократилась на 9,1%","© Reuters. Годовая выручка ""Центрального телеграфа"" по РСБУ сократилась на 9,1%

В том числе доходы от услуг телеграфной связи, передачи данных и телематических услуг составили 904,3 млн рублей, сократившись почти на 2%. Доходы от услуг местной связи снизились на 11,7% - до 286,6 млн рублей. Доходы от услуг присоединения и пропуска трафика упали на 26,3% - до 194,2 млн рублей. Услуги внутризоновой связи принесли компании 24,8 млн рублей доходов (снижение на 9,6%), а услуги аренды каналов - 28,1 млн рублей (снижение на 7,3%).
Себестоимость снизилась на 14% - до 1,38 млрд рублей. Валовая прибыль возросла в 14 раз - до 83,6 млн рублей. Прочие доходы увеличились на 19,8% - до 479,7 млн рублей. Прочие расходы составили 237 млн рублей, сократившись год к году на 22,6%. Прибыль до налогообложения возросла на 89,5% - до 333,5 млн рублей.
Чистая прибыль ЦТ в 2021 г. составила 259 млн рублей, увеличившись за год на 89,7%.
""Центральный телеграф"" оказывает услуги фиксированной и мобильной телефонии (MVNO), доступа в интернет, IPTV, аренды каналов, документальной электросвязи.
Уставный капитал ЦТ составляет 221 млн 556 тыс. рублей, выпущено 166 млн 167 тыс. обыкновенных и 55 млн 389 тыс. привилегированных акций номиналом 1 рубль.
Основным акционером ""Центрального телеграфа"" является ПАО ""Ростелеком (MCX:RTKM)"", которому принадлежит 60% уставного капитала и 80% голосующих акций. В номинальном владении НКО ЗАО ""Национальный расчетный депозитарий"" находится 27,1% уставного капитала (11,5% обыкновенных акций).RTKM )"", которому принадлежит 60% уставного капитала и 80% голосующих акций. В номинальном владении НКО ЗАО ""Национальный расчетный депозитарий"" находится 27,1% уставного капитала (11,5% обыкновенных акций).","22.02.2022, 15:55",https://ru.investing.com/news/stock-market-news/article-2137850
"Покупателем здания Центрального телеграфа стали акционеры ритейлера ""Мария-Ра""","Покупателем здания Центрального телеграфа стали акционеры ритейлера ""Мария-Ра""

Как сообщалось на текущей неделе, ПАО ""Центральный телеграф (MCX:CNTL)"" закрыло сделку по продаже 7-этажного офисно-технологического здания Центрального телеграфа площадью 12 тыс. кв. м между Никитским и Газетным переулками. По информации ""Ростелекома (MCX:RTKM)"" (владеет 60% ""Центрального телеграфа""), сумма сделки составила 2 млрд рублей (с учетом НДС), покупатель в сообщении не был указан.CNTL )"" закрыло сделку по продаже 7-этажного офисно-технологического здания Центрального телеграфа площадью 12 тыс. кв. м между Никитским и Газетным переулками. По информации ""Ростелекома (MCX: RTKM )"" (владеет 60% ""Центрального телеграфа""), сумма сделки составила 2 млрд рублей (с учетом НДС), покупатель в сообщении не был указан. 
По данным аналитической системы ""СПАРК-Интерфакс"", совладельцами ООО ""Первый"" в равных пропорциях выступают Александр, Евгений, Алла и Галина Ракшины. А.Ракшин несколько раз попадал в рейтинг богатейших россиян журнала Forbes. В 2013 году он занял 148-е место, его состояние оценивалось в $700 млн, к 2015 году он опустился на 164-е место (состояние $500 млн).
Как ""Первый"" планирует использовать здание Центрального телеграфа, ""Ведомостям"" пока узнать не удалось.","21.12.2018, 10:13",https://ru.investing.com/news/economy/article-591639
