ticker,url
NNSB,https://ru.investing.com/equities/nizhegorodskaya-sbytovaya-komp
NSVZ,https://ru.investing.com/equities/nauka-svyaz
NVTK,https://ru.investing.com/equities/novatek_rts
OGKB,https://ru.investing.com/equities/ogk-2_rts
OZPH,https://ru.investing.com/equities/ozon-pharmaceuticals-pjsc
PAZA,https://ru.investing.com/equities/pavlovskiy-avtobus-oao
PHOR,https://ru.investing.com/equities/phosagro
PIKK,https://ru.investing.com/equities/pik_rts
PLZL,https://ru.investing.com/equities/polyus-zoloto_rts
PMSB,https://ru.investing.com/equities/perm-sb
POSI,https://ru.investing.com/equities/gruppa-pozitiv-pao
PRFN,https://ru.investing.com/equities/chzpsn-profnastil-oao
PRMB,https://ru.investing.com/equities/akb-primorye-oao
PRMD,https://ru.investing.com/equities/promomed-pjsc
RASP,https://ru.investing.com/equities/raspadskaya
RBCM,https://ru.investing.com/equities/rbk-tv-moskva
RDRB,https://ru.investing.com/equities/rosdorbank-pao
RENI,https://ru.investing.com/equities/gruppa-renessans-strakhovaniye
RGSS,https://ru.investing.com/equities/rosgosstrakh-oao
RKKE,https://ru.investing.com/equities/rsc-energia
RNFT,https://ru.investing.com/equities/ruspetro
ROLO,https://ru.investing.com/equities/rusolovo-oao
ROSB,https://ru.investing.com/equities/rosbank
ROSN,https://ru.investing.com/equities/rosneft_rts
ROST,https://ru.investing.com/equities/rosinter-restaurants-holding
RTGZ,https://ru.investing.com/equities/gazprom-gazoraspredeleniye
RTKM,https://ru.investing.com/equities/rostelecom
RTSB,https://ru.investing.com/equities/rostov-sb
RUAL,https://ru.investing.com/equities/united-company-rusal-plc%60
RUSI,https://ru.investing.com/equities/ic-russ-invest
RZSB,https://ru.investing.com/equities/ryazan-sb
SAGO,https://ru.investing.com/equities/samaraenergo
SARE,https://ru.investing.com/equities/saratovenergo
SBER,https://ru.investing.com/equities/sberbank_rts
SELG,https://ru.investing.com/equities/seligdar
SFIN,https://ru.investing.com/equities/yevroplan-pao
SGZH,https://ru.investing.com/equities/segezha-group-pao
SIBN,https://ru.investing.com/equities/gazprom-neft_rts
SLEN,https://ru.investing.com/equities/sakhalinenergo-oao
SMLT,https://ru.investing.com/equities/gk-samolet-pao
SNGS,https://ru.investing.com/equities/surgutneftegas_rts
SOFL,https://ru.investing.com/equities/softline-pao
SPBE,https://ru.investing.com/equities/spb-birzha-pao
STSB,https://ru.investing.com/equities/stavropolenergosbyt
SVAV,https://ru.investing.com/equities/sollers
SVCB,https://ru.investing.com/equities/sovkombank-pao
SVET,https://ru.investing.com/equities/svetofor-group-pao
TASB,https://ru.investing.com/equities/tambov-power-sale
TATN,https://ru.investing.com/equities/tatneft_rts
T,https://ru.investing.com/equities/tcs-group-holding-plc
TGKA,https://ru.investing.com/equities/tgk-1
TGKB,https://ru.investing.com/equities/tgk-2
TGKN,https://ru.investing.com/equities/tgc-14
TNSE,https://ru.investing.com/equities/gk-tns-energo-pao
TORS,https://ru.investing.com/equities/tomsk-distribution
TRMK,https://ru.investing.com/equities/tmk
TTLK,https://ru.investing.com/equities/tattelecom
TUZA,https://ru.investing.com/equities/tza-oao
UGLD,https://ru.investing.com/equities/yuzhuralzoloto-gruppa-komp
UKUZ,https://ru.investing.com/equities/south-kuzbass
UNAC,https://ru.investing.com/equities/united-aircraft-corporation
UNKL,https://ru.investing.com/equities/kombinat-yuzhuralnikel-oao
UPRO,https://ru.investing.com/equities/e.on-russia
URKZ,https://ru.investing.com/equities/uralskaya-kuznitsa-oao
USBN,https://ru.investing.com/equities/bank-uralsib
UTAR,https://ru.investing.com/equities/utair-aviakompaniya-oao
UWGN,https://ru.investing.com/equities/npk-ovk-pao
VEON-RX,https://ru.investing.com/equities/veon-ltd?cid=1180708
VGSB,https://ru.investing.com/equities/volgogradenergosbyt
VJGZ,https://ru.investing.com/equities/varyeganneftegaz
VKCO,https://ru.investing.com/equities/mail.ru-grp-wi
VLHZ,https://ru.investing.com/equities/vladimirskiy-khimicheskiy
VRSB,https://ru.investing.com/equities/voronezh-sb
VSEH,https://ru.investing.com/equities/vi-ru
VSMO,https://ru.investing.com/equities/vsmpo-avisma-crp_rts
VSYD,https://ru.investing.com/equities/vyborgskiy-sudostroitelnyi-zavod
VTBR,https://ru.investing.com/equities/vtb_rts
WTCM,https://ru.investing.com/equities/cmt
WUSH,https://ru.investing.com/equities/whoosh-holding-pao
YAKG,https://ru.investing.com/equities/yatek
YDEX,https://ru.investing.com/equities/yandex
YKEN,https://ru.investing.com/equities/yakutskenergo
YRSB,https://ru.investing.com/equities/yask
ZAYM,https://ru.investing.com/equities/mfk-zaymer-pao
ZILL,https://ru.investing.com/equities/amo-zil
ZVEZ,https://ru.investing.com/equities/zvezda
